Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
3.360462375,-0.110062433,0.115801767,0.633374493,0.653212857
3.370472375,-0.07097555,0.30503433,0.340045996,0.462292927
3.380481375,0.0113512,0.447739721,0.28493248,0.530835404
3.390461375,-0.109355212,0.544103005,0.359489742,0.661240891
3.400470375,-0.006803966,0.697105927,0.405569894,0.806529545
3.410480375,0.236333639,0.765349658,0.315892902,0.861047045
3.420490375,-0.077573841,0.37816648,0.381774065,0.542935562
3.430469375,-0.264729619,0.126202502,0.152502401,0.330553815
3.440479375,-0.252268179,0.158459398,-0.014378303,0.298253836
3.450489375,-0.283437785,0.108166327,0.013932745,0.30369566
3.460498375,-0.249736773,0.246240869,-0.015316197,0.351052143
3.470478375,-0.154599505,0.459413833,-0.010322675,0.484838772
3.480487375,-0.158171423,0.461401741,0.190622154,0.523685565
3.490497375,-0.121131212,0.247617231,0.033551908,0.277691905
3.500476375,-0.097146518,0.031469861,0.078984774,0.129098383
3.510486375,-0.223146999,-0.156154206,0.139626832,0.306062692
3.520496375,-0.325751308,-0.243506126,-0.000256108,0.406705315
3.530506375,-0.23090523,-0.521697571,0.523967825,0.774614654
3.540454,-0.284343227,-0.691192419,1.342896105,1.536869539
3.550464,-0.094903965,-0.405361807,1.16596813,1.238065684
3.560473,-0.081363421,-0.326301823,1.339994717,1.381549393
3.570483,0.004059429,-0.140572473,1.161032495,1.169518514
3.580462,-0.234128362,0.221262295,0.87201632,0.929615811
3.590472,-0.493658344,0.397144787,0.593913973,0.868421758
3.600482,-0.621334491,0.479823247,0.256886895,0.826001074
3.610461,-0.914143609,0.922232208,-0.715250714,1.482482502
3.620471,-0.889713649,0.878762911,-0.714262535,1.440133883
3.630481,-0.620077924,1.279660222,-0.653587148,1.564992995
3.640491,-0.20679526,0.249418977,-0.345801995,0.473870368
3.65047,0.112118752,0.082694686,-0.407234012,0.430405119
3.66048,0.20063858,1.04877151,-0.534748921,1.194208495
3.670489,-0.107802922,1.308063218,-0.637965142,1.459332167
3.680499,-0.180981192,0.726059293,-0.204816855,0.775800382
3.690478,-0.278025968,-0.127577621,-0.010715607,0.306087099
3.700488,-0.509860394,-0.981280169,-0.345217273,1.15846595
3.710498,-0.589736941,-1.315168024,-0.549713116,1.542608538
3.720477,-0.380186181,-1.601425775,-0.213088326,1.659672462
3.730487,-0.212581153,-1.682761422,0.112247245,1.699845932
3.740497,-0.249372419,-1.105764906,-0.054479678,1.134843894
3.750506,-0.42412903,0.038712149,-0.222557307,0.480537011
3.760486,-0.524739292,0.093327336,0.536613598,0.756317044
3.770495,-0.444500181,-0.097086949,0.901161767,1.009504243
3.780505,-0.274163297,-0.134859159,0.66875541,0.735245744
3.790515,-0.205766479,-0.315072538,0.693243549,0.788794755
3.800494,-0.271087808,-0.238315261,0.602082533,0.701987279
3.810504,-0.309323409,-0.041843625,0.362081228,0.478053005
3.820514,-0.261947514,0.167549626,0.180981849,0.359783
3.830493,-0.21962533,0.213857673,0.031296637,0.308139367
3.840503,-0.231176578,0.249773611,-0.098946583,0.354428968
3.850513,-0.156977823,0.315480089,-0.151890782,0.383719341
3.860522,-0.143348183,0.355130716,-0.152020006,0.412039572
3.870502,-0.18692284,0.382489619,-0.070789316,0.43156643
3.880511,-0.224144022,0.376430916,0.125401726,0.455704257
3.890521,-0.240787354,0.318565847,0.366098265,0.541747809
3.9005,-0.225519799,0.268293789,0.477040411,0.591952946
3.91051,-0.139963997,0.197874565,0.495062115,0.551208455
3.92052,0.03297603,0.027402702,0.438167537,0.440260283
3.93053,0.181253745,-0.142607432,0.277426994,0.360770754
3.940509,0.162890783,-0.075736371,0.273438608,0.327166743
3.950519,-0.035600955,-0.041334315,0.355867392,0.36002438
3.960528,-0.18042344,0.069980829,0.447613129,0.48765505
3.970538,-0.297091984,0.270371707,0.391312628,0.560794151
3.980517,-0.280339821,0.349395913,0.286708864,0.531855142
3.990527,-0.246019077,0.353871225,0.106525744,0.443957165
4.000537,-0.211768207,0.151166312,-0.030268697,0.261941256
4.010516,-0.11471561,-0.077441438,-0.009657846,0.138744807
4.020526,0.073356317,-0.07779355,0.120206475,0.160880646
4.030536,0.084692241,0.349138818,0.399649004,0.537391865
4.040545,0.11622876,0.566132134,0.481927514,0.75250837
4.050525,0.163008057,0.561425673,0.751099994,0.951799146
4.060535,0.043702126,0.54550239,1.259355766,1.373120416
4.070544,-0.264282563,0.644619711,1.859086549,1.985341946
4.080554,-0.518297561,0.800976597,2.421616761,2.602772293
4.090533,-0.66183618,0.424880032,2.99220853,3.093842604
4.100543,-0.878123006,-0.247561244,3.659178784,3.771203516
4.110553,-1.087869575,-0.434372694,4.116216456,4.27964692
4.120532,-0.906302419,-0.602023769,4.902253563,5.021544253
4.130542,-0.590040924,-0.865785235,5.866391596,5.959218298
4.140552,-0.194802036,-1.030922592,6.346457357,6.43259436
4.150561,0.151409118,-1.148682591,6.463623279,6.566644677
4.160541,0.437312235,-1.294187337,6.397958463,6.542173595
4.17055,0.48866146,-1.251693867,6.024696774,6.172722153
4.18056,0.140577443,-1.292141688,5.685443076,5.832122695
4.19057,-0.358208763,-1.377667158,4.761113471,4.969354264
4.200549,-0.681771166,-1.578110003,3.543441921,3.938429097
4.210559,-0.810966273,-1.623807455,2.520016045,3.105623579
4.220569,-0.809283298,-1.629607016,1.433320372,2.316239575
4.230548,-0.613399381,-1.538179075,0.354340099,1.693461122
4.240558,-0.601277518,-1.134522389,-0.389163777,1.341687054
4.250567,-0.534921268,-0.853233309,-1.074500721,1.47265055
4.260577,-0.261290433,-0.863601007,-1.171400778,1.47860041
4.270556,-0.072476384,-0.816305804,-1.232061548,1.47972418
4.280566,-0.116535446,-0.893120091,-1.399637486,1.664400522
4.290576,-0.316789865,-1.021321464,-1.389389656,1.753241845
4.300586,-0.472699585,-1.240913647,-1.475930786,1.985367287
4.310565,-0.53198582,-1.316891783,-1.648686773,2.176093048
4.320575,-0.56290268,-1.382977014,-1.859591163,2.384861452
4.330585,-0.446244588,-1.393953407,-2.142920337,2.595062216
4.340564,-0.336924898,-1.298615141,-2.598455858,2.924361899
4.350574,-0.190833823,-1.155247845,-2.769529016,3.006876469
4.360583,-0.181038421,-0.80667427,-2.757501293,2.878769124
